*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=gg10
*Date=21:42:59
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;34.2265;-3.01;0;Bottom;Copper Fill78
2;;;24.7475;-1.08901;0;Bottom;Via37
3;;;2.22798;-34.1089;90;Top;+
4;;;22.2075;-1.72401;0;Bottom;Via5
5;2.4k;0402 [SMD];27.9375;-1.08877;180;Top;R3
6;47k;0402 [SMD];3.14246;-20.1388;0;Top;R7
7;;;22.2075;-13.154;0;Bottom;Via30
8;;;17.6276;-3.772;0;Bottom;Copper Fill60
9;;;37.3126;-8.09;0;Bottom;Copper Fill55
10;;;18.3261;-2.248;0;Bottom;Copper Fill25
11;;;20.955;-3.3402;0;Bottom;Copper Fill7
12;;;25.4762;-1.1431;0;Bottom;Copper Fill85
13;;;21.5138;-29.8831;0;Bottom;Copper Fill33
14;;;40.6226;-18.2338;0;Bottom;Via85
15;;;28.956;-48.133;0;Bottom;Copper Fill11
16;;;23.2131;-3.25826;0;Bottom;Hole14
17;;;23.6982;-8.2043;0;Bottom;Copper Fill14
18;;;15.24;-1.74;0;Bottom;Copper Fill63
19;;TQFP;28.9238;-14.4649;180;Top;U3
20;;;17.0561;-0.724;0;Bottom;Copper Fill19
21;;;36.1774;-3.62901;0;Bottom;Via74
22;;;10.4648;-22.0345;0;Bottom;Copper Fill1
23;300;0402 [SMD];17.4666;-13.7888;0;Top;R4
24;;;28.194;-3.8736;0;Bottom;Copper Fill59
25;;;30.6578;-48.133;0;Bottom;Copper Fill68
26;;;39.9875;-10.6139;0;Bottom;3V3
27;;;24.0754;-33.8404;0;Bottom;IMG5
28;;;34.6537;-15.537;0;Bottom;TXT5
29;;tactile-switch-1101ne;14.5875;-10.0038;-90;Top;X7
30;;;20.8026;-14.6178;0;Bottom;Copper Fill52
31;;;23.5458;-3.9498;0;Bottom;Copper Fill58
32;;;27.9225;-16.329;0;Bottom;Via76
33;;;35.5424;-6.80401;0;Bottom;Via55
34;1µF;0603 [SMD, multilayer];27.0725;-8.07378;0;Top;C1
35;;;32.3675;-19.504;0;Bottom;Via83
36;;;4.2672;-21.1963;0;Bottom;Copper Fill42
37;;;38.7604;-11.4428;0;Bottom;Copper Fill5
38;;;29.7561;-48.9585;0;Bottom;Copper Fill66
39;;;20.9375;-1.08883;0;Top;Pad5
40;1µF;0603 [SMD, multilayer];27.0725;-6.16878;0;Top;C2
41;;THT;22.8425;-22.6789;-90;Bottom;J1
42;;;19.5961;-2.248;0;Bottom;Copper Fill27
43;;;37.4474;-9.34401;0;Bottom;Via84
44;;;20.9804;-25.0063;0;Bottom;Copper Fill8
45;;;5.06247;-22.0439;0;Bottom;Via66
46;;;11.4125;-2.99401;0;Bottom;Via72
47;;;3.15746;-46.8089;0;Bottom;Hole19
48;;;39.9161;-21.298;0;Bottom;Copper Fill79
49;;usb-microb;20.9375;-1.87803;0;Top;X1
50;;;18.3975;-18.234;0;Bottom;Via69
51;;;31.6738;-37.0078;0;Bottom;Copper Fill76
52;;;31.7325;-4.89901;0;Bottom;Via81
53;;14pin;32.3675;-34.9539;-90;Top;U6
54;;;34.9075;-48.0789;0;Bottom;+
55;;;40.4114;-20.8027;0;Bottom;Copper Fill21
56;;;29.8275;-16.964;0;Bottom;Via57
57;;;23.4061;-2.248;0;Bottom;Copper Fill82
58;;;22.1361;-2.248;0;Bottom;Copper Fill12
59;;;22.8425;-1.08901;0;Bottom;Via8
60;;;40.6226;-10.6138;0;Bottom;Via87
61;;;31.5214;-3.0862;0;Bottom;Copper Fill61
62;47k;0402 [SMD];12.6825;-1.70882;-90;Top;R5
63;;;40.4114;-20.8027;0;Bottom;Copper Fill81
64;;;5.06247;-37.9189;0;Bottom;Via61
65;;;23.4061;-2.248;0;Bottom;Copper Fill22
66;;;29.7561;-48.9839;0;Bottom;Copper Fill10
67;10k;0402 [SMD];3.17246;-23.9489;180;Top;R8
68;;;39.4208;-20.8027;0;Bottom;Copper Fill80
69;;;16.1696;-4.57615;0;Bottom;Via82
70;;;15.5448;-11.2904;0;Bottom;Copper Fill51
71;;;26.6525;-12.519;0;Bottom;Via64
72;;;31.3944;-25.1079;0;Bottom;Copper Fill40
73;;;8.87247;-4.26401;0;Bottom;Via73
74;;;2.54;-6.8327;0;Bottom;Copper Fill75
75;;;21.5265;-0.724;0;Bottom;Copper Fill18
76;;;17.1958;-22.6695;0;Bottom;Copper Fill2
77;;;26.6525;-13.789;0;Bottom;Via65
78;;;3.15746;-22.0439;0;Bottom;Via43
79;;;1.8034;-43.8277;0;Bottom;Copper Fill32
80;;;23.4775;-1.72401;0;Bottom;Via10
81;;;30.0736;-33.2613;0;Bottom;Copper Fill38
82;;;36.2458;-7.709;0;Bottom;Copper Fill57
